learning_rate,z_dim,num_filters,epochs,data_dir,vaegan,test_accuracy
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.5546875
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.4765625
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.453125
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.5625
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.4921875
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.4375
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.5078125
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.5390625
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.546875
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.4140625
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.53125
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.546875
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.5859375
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.5234375
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.4765625
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.4765625
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.3984375
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.5
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.4765625
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.5625
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.5234375
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.5078125
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.46875
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.46875
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.609375
0.01,30.0,20.0,80.0,/home/cveenker1/Anomaly-Detection-in-API-calls/data/synthetic_data2,0.0,0.4453125
