Wall time,Step,Value
1698384597.197328,1343,0.9492920637130737
1698384849.3817677,2687,0.9840174317359924
1698385101.359195,4031,0.9862337708473206
1698385354.1842194,5375,0.9880486726760864
1698385606.505111,6719,0.9921236038208008
1698385858.5223887,8063,0.9956080913543701
1698386109.9080944,9407,0.9961403608322144
1698386361.8888798,10751,0.9997789263725281
1698386614.668855,12095,0.9980309009552002
1698386867.6505735,13439,0.9971874356269836
1698387118.6535795,14783,0.9973793625831604
1698387372.5186608,16127,0.9966115355491638
1698387624.3913393,17471,0.9988656640052795
1698387876.3272126,18815,0.998537003993988
1698388129.1514325,20159,0.9977924227714539
1698388381.963801,21503,0.998091995716095
1698388633.9762018,22847,0.997806966304779
1698388886.0352423,24191,0.9995055198669434
1698389137.988381,25535,0.9999418258666992
1698389390.281151,26879,0.999336838722229
1698389642.0989199,28223,0.9998923540115356
1698389890.1272142,29567,0.9983420968055725
1698390142.4764879,30911,0.9978418350219727
1698390395.1896908,32255,0.9970012903213501
1698390648.071804,33599,0.9984700679779053
1698390895.671209,34943,0.9997760653495789
1698391148.9799514,36287,0.9994240999221802
1698391396.3707538,37631,0.9964253902435303
1698391650.147201,38975,0.9950729012489319
1698391904.4700809,40319,0.998086154460907
1698392152.4937868,41663,0.9969722032546997
1698392406.3670664,43007,0.9963177442550659
1698392654.0524564,44351,0.996035635471344
1698392910.5950952,45695,0.9976963996887207
1698393160.4267817,47039,0.9925627708435059
1698393418.3177214,48383,0.9902039766311646
1698393668.8051505,49727,0.9913586378097534
1698393927.425169,51071,0.9896163940429688
1698394177.79701,52415,0.9979785680770874
1698394428.398591,53759,0.999933123588562
1698394687.9084547,55103,0.9950292706489563
1698394937.957926,56447,0.9964137673377991
1698395197.6519773,57791,0.9972513914108276
1698395448.1576695,59135,0.9950874447822571
1698395698.7305827,60479,0.9949333071708679
1698395958.1293373,61823,0.9931881427764893
1698396208.4220178,63167,0.9941537976264954
1698396468.9228952,64511,0.9978243708610535
1698396719.3739774,65855,0.9931852221488953
1698396969.3694267,67199,0.993313193321228
1698397230.4952798,68543,0.9950495958328247
1698397480.708182,69887,0.9941741228103638
1698397730.9485977,71231,0.9941479563713074
1698397992.354322,72575,0.9938658475875854
1698398243.0080562,73919,0.9980454444885254
1698398493.20804,75263,0.9949333071708679
1698398743.1527119,76607,0.9984293580055237
1698399005.6053658,77951,0.991326630115509
1698399255.4814293,79295,0.9938018321990967
1698399505.4255683,80639,0.9905791282653809
1698399767.4436822,81983,0.9922370314598083
1698400016.6642115,83327,0.9952881336212158
1698400265.510583,84671,0.9938774704933167
1698400514.179517,86015,0.9918967485427856
1698400776.8833773,87359,0.9879265427589417
1698401026.3007069,88703,0.9967918395996094
1698401275.377256,90047,0.9959686994552612
1698401524.8333292,91391,0.9947616457939148
1698401789.38475,92735,0.996172308921814
1698402039.8719482,94079,0.9960792660713196
1698402289.7906945,95423,0.9946249723434448
1698402539.2312217,96767,0.9951921105384827
1698402805.0296378,98111,0.9971932172775269
1698403055.252946,99455,0.9948402047157288
1698403305.0620105,100799,0.9954248070716858
1698403553.4610968,102143,0.9957854747772217
1698403818.7502832,103487,0.9913877248764038
1698404066.981996,104831,0.9942730069160461
1698404315.1813366,106175,0.9963439106941223
1698404563.5631125,107519,0.9975247979164124
