Wall time,Step,Value
1698455278.219245,241,0.9897087216377258
1698455426.3338716,483,0.9927022457122803
1698455574.2240522,725,0.9819417595863342
1698455721.8826816,967,0.979708731174469
1698455869.8296106,1209,0.9761488437652588
1698456018.0522993,1451,0.9839320182800293
1698456165.7495482,1693,0.9764562845230103
1698456313.8934631,1935,0.9807281494140625
1698456461.5036695,2177,0.9786731600761414
1698456608.3399384,2419,0.9791909456253052
1698456755.7070735,2661,0.9822492003440857
1698456903.0063689,2903,0.9799514412879944
1698457050.6566052,3145,0.9805825352668762
1698457198.1443608,3387,0.9837055206298828
1698457345.7036061,3629,0.9899676442146301
1698457492.894232,3871,0.9943365454673767
1698457640.625246,4113,0.9873139262199402
1698457788.2154713,4355,0.9951294660568237
1698457935.1090088,4597,0.9875242710113525
1698458082.7718923,4839,0.9883818626403809
1698458230.5994189,5081,0.9917314052581787
1698458378.0379722,5323,0.9979773759841919
1698458524.769148,5565,0.9935275316238403
1698458672.526609,5807,0.9882362484931946
1698458819.2181494,6049,0.9897572994232178
1698458967.1320837,6291,0.9836731553077698
1698459113.7965353,6533,0.9956310391426086
1698459261.7833414,6775,0.9927508234977722
1698459409.4743178,7017,0.9940291047096252
1698459556.2867198,7259,0.9964886903762817
1698459704.265134,7501,0.99320387840271
1698459850.8915977,7743,0.9918932318687439
1698459997.6228008,7985,0.9977346062660217
1698460145.3306608,8227,0.9947410821914673
1698460291.9064727,8469,0.9950000047683716
1698460440.1499014,8711,0.9889158606529236
1698460586.3050435,8953,0.9924433827400208
1698460733.9592373,9195,0.9876375198364258
1698460880.5311918,9437,0.9947410821914673
1698461027.0381458,9679,0.9939805865287781
1698461175.005837,9921,0.9925081133842468
1698461321.5067074,10163,0.9868446588516235
1698461469.6043198,10405,0.9915210604667664
1698461616.2062314,10647,0.9962944984436035
1698461762.7222757,10889,0.9917637705802917
1698461910.8453875,11131,0.9849029183387756
1698462057.0183225,11373,0.9944012761116028
1698462203.4554422,11615,0.9937055110931396
1698462351.8193603,11857,0.9955016374588013
1698462498.38021,12099,0.9866828322410583
1698462644.9355993,12341,0.99320387840271
1698462793.316315,12583,0.9882524013519287
1698462939.8580916,12825,0.9879125952720642
1698463086.176424,13067,0.9888026118278503
1698463232.8761582,13309,0.9901942014694214
1698463381.9053319,13551,0.9880582690238953
1698463528.7987359,13793,0.9852588772773743
1698463675.2416852,14035,0.9902103543281555
1698463824.0202851,14277,0.9902427196502686
1698463970.3707492,14519,0.9887702465057373
1698464116.8759177,14761,0.9871359467506409
1698464263.4571233,15003,0.9916504621505737
1698464412.57251,15245,0.9900161623954773
1698464559.5798864,15487,0.9890453219413757
1698464706.088592,15729,0.9933818578720093
1698464852.2550004,15971,0.9825080633163452
1698465001.2820039,16213,0.9917961359024048
1698465147.997591,16455,0.9922491908073425
1698465294.542081,16697,0.9933980703353882
1698465440.9874911,16939,0.9934628009796143
1698465587.398171,17181,0.9932847619056702
1698465736.6149192,17423,0.9944336414337158
1698465883.043266,17665,0.9907119870185852
1698466029.5933833,17907,0.9935922622680664
1698466176.0899072,18149,0.9910032153129578
1698466325.7248445,18391,0.9917799234390259
1698466472.4996066,18633,0.991844654083252
1698466619.0372503,18875,0.9905663132667542
1698466764.8544047,19117,0.9912459254264832
1698466910.8361387,19359,0.9902750849723816
