Wall time,Step,Value
1698479375.2787166,241,0.9765372276306152
1698479510.5496655,483,0.9798381924629211
1698479645.5319483,725,0.982427179813385
1698479780.1724544,967,0.9778640866279602
1698479915.101047,1209,0.9856148958206177
1698480050.254045,1451,0.9898220300674438
1698480185.1425452,1693,0.975631058216095
1698480320.5153987,1935,0.9851779937744141
1698480455.2612536,2177,0.9873948097229004
1698480589.9121888,2419,0.9913268685340881
1698480725.0345101,2661,0.9896439909934998
1698480860.1554024,2903,0.9860517978668213
1698480995.6194959,3145,0.9906957745552063
1698481131.0876136,3387,0.9863106608390808
1698481266.761013,3629,0.9889805912971497
1698481402.467276,3871,0.9903721809387207
1698481537.2485704,4113,0.9912621378898621
1698481672.6188698,4355,0.9948058128356934
1698481806.996427,4597,0.9809547066688538
1698481942.2655737,4839,0.9911003112792969
1698482077.5435598,5081,0.9875566363334656
1698482212.816761,5323,0.9882686138153076
1698482347.2225866,5565,0.9922006726264954
1698482482.294519,5807,0.9897734522819519
1698482616.5615659,6049,0.9910194277763367
1698482751.9926956,6291,0.9921683073043823
1698482886.4581146,6533,0.9915534257888794
1698483021.932415,6775,0.9855986833572388
1698483157.2377126,7017,0.9938187599182129
1698483291.525749,7259,0.9886407852172852
1698483426.5967212,7501,0.9880096912384033
1698483561.120856,7743,0.9930744171142578
1698483695.3467128,7985,0.9913915991783142
1698483830.9639757,8227,0.9928317070007324
1698483965.207613,8469,0.9943527579307556
1698484101.177429,8711,0.9918932318687439
1698484235.3761637,8953,0.991229772567749
1698484370.7017052,9195,0.9930420517921448
1698484504.9677658,9437,0.9877831935882568
1698484639.052998,9679,0.9929288029670715
1698484775.1905863,9921,0.9926537275314331
1698484909.491351,10163,0.9897896647453308
1698485045.458725,10405,0.9852750897407532
1698485179.8494647,10647,0.9824433922767639
1698485313.5088313,10889,0.9860517978668213
1698485449.3235574,11131,0.991165041923523
1698485583.5166144,11373,0.9943365454673767
1698485717.6754768,11615,0.9940291047096252
1698485853.8617444,11857,0.9869093894958496
1698485988.4027696,12099,0.9893203973770142
1698486122.8682258,12341,0.9917799234390259
1698486256.9170125,12583,0.9915857315063477
1698486393.3748178,12825,0.9881391525268555
1698486528.0756512,13067,0.9880259037017822
1698486662.567235,13309,0.9851941466331482
1698486799.4504113,13551,0.9906634092330933
1698486934.1366186,13793,0.9895145893096924
1698487068.3409157,14035,0.992556631565094
1698487202.327895,14277,0.9886731505393982
1698487339.597209,14519,0.9889967441558838
1698487474.1434977,14761,0.9923462867736816
1698487608.356899,15003,0.9861488938331604
1698487744.973289,15245,0.9785274863243103
1698487879.6414247,15487,0.9896763563156128
1698488013.8256097,15729,0.9905016422271729
1698488148.1766691,15971,0.9900161623954773
1698488285.1876643,16213,0.9905986785888672
1698488420.0974386,16455,0.9896602034568787
1698488554.563103,16697,0.9888511300086975
1698488689.0189898,16939,0.9920712113380432
1698488823.7004416,17181,0.9853074550628662
1698488961.0034146,17423,0.9876213669776917
1698489095.9254162,17665,0.9880744218826294
1698489230.3651814,17907,0.9840129613876343
1698489364.7034907,18149,0.9811326861381531
1698489502.2038958,18391,0.9902912378311157
1698489636.805352,18633,0.9849029183387756
1698489771.1522639,18875,0.9845792651176453
1698489905.3140223,19117,0.9868770241737366
1698490040.0458326,19359,0.9917961359024048
